ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Patrick Olalere,NE,F,1,0,0,0,0,0,0,1997
Juan Sastoque,DAL,F,2,0,0,0,0,0,0,1997
Rob Johnson,MET,F,2,0,0,0,0,0,0,1997
Kevin Wylie,NE,F,3,0,0,0,0,0,0,1997
Marco Rizi,MET,D,1,0,0,0,0,0,0,1997
Peter Lak,LA,D,2,1,0,0,0,0,0,1997
Dan Stebbins,DAL,F,1,1,0,0,0,0,0,1997
Altimont Butler,CLB,M,1,1,0,0,0,0,0,1997
Tayt Ianni,SJ,D,1,1,0,0,0,0,0,1997
Joey Thieman,DC,M,3,0,0,0,0,0,0,1997
Brian Haynes,DAL,M,1,1,0,0,0,0,0,1997
Steve Klein,NE,M,4,0,0,0,0,0,0,1997
Ante Razov,LA,F,3,0,0,0,0,0,0,1997
Todd Miller,CLB,M,3,1,0,0,0,0,0,1997
John Jones,LA,M,5,0,0,0,0,0,0,1997
Eric Quill,TB,F,2,1,0,0,0,0,0,1997
Jake Dancy,KC,M,3,0,0,0,0,0,0,1997
Gerardo Laterza,LA,M,4,1,0,0,0,0,0,1997
Scott Benedetti,COL,F,3,1,0,0,0,0,0,1997
John Diffley,KC,D,6,2,0,0,0,0,0,1997
Musa Shannon,TB,M-F,5,1,0,0,0,0,0,1997
Brian Kamler,DC,M,5,1,0,0,0,0,0,1997
Damian Silvera,KC,M,3,1,0,0,0,0,0,1997
Matt Knowles,MET,D,4,2,0,0,0,0,0,1997
Curt Onalfo,SJ,D,6,3,0,0,0,0,0,1997
Brian Dunseth,NE,D,5,1,0,0,0,0,0,1997
Derek Backman,TB,M,3,2,0,0,0,0,0,1997
Silvio Rudman,CLB,M,6,2,0,0,0,0,0,1997
Brad Wilson,LA,D,3,3,0,0,0,0,0,1997
Rob Jachym,CLB,F,9,1,0,0,0,0,0,1997
Jose Vasquez,LA,D,5,2,0,0,0,0,0,1997
Carlos Parra,MET,M,4,3,0,0,0,0,0,1997
Chris Martinez,COL,D,8,3,0,0,0,0,0,1997
Brian Taylor,LA,M,11,5,0,0,0,0,0,1997
Janusz Michallik,CLB,M,10,6,0,0,0,0,0,1997
Richard Farrer,DAL,D,8,6,0,0,0,0,0,1997
Brian Bates,COL,M,11,7,0,0,0,0,0,1997
Joao Luiz,MET,D,7,7,0,0,0,0,0,1997
Mario Gori,DC,D,8,8,0,0,0,0,0,1997
John DeBrito,KC,D,10,8,0,0,0,0,0,1997
Jeff Zaun,MET,D,10,6,0,0,0,0,0,1997
Clint Peay,DC,D,13,8,0,0,0,0,0,1997
Erik Imler,DC,M,15,9,0,0,0,0,0,1997
Darren Sawatzky,NE,F,26,5,0,0,0,0,0,1997
Evans Wise,NE,M,22,8,0,0,0,0,0,1997
Ramiro Corrales,SJ,M,14,11,0,0,0,0,0,1997
Kerry Zavagnin,MET,M,21,12,0,0,0,0,0,1997
Rob Smith,CLB,M,25,8,0,0,0,0,0,1997
Eric Dade,DAL,D,15,14,0,0,0,0,0,1997
Sam George,NE,M,23,14,0,0,0,0,0,1997
Joey Martinez,DAL,D,19,19,0,0,0,0,0,1997
Sean Henderson,COL,M,25,19,0,0,0,0,0,1997
Carlos Llamosa,DC,D,25,20,0,0,0,0,0,1997
Ansil Elcock,CLB,D,26,21,0,0,0,0,0,1997
Leonardo Squadrone,NE,D,23,23,0,0,0,0,0,1997
Mike Sorber,MET,M,22,22,0,0,0,0,0,1997
Sean Bowers,KC,D,26,24,0,0,0,0,0,1997
