ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Robin Fraser,CLB,2,29,29,0,0,0,0,0,2005
Nick Garcia,KC,2,30,30,0,0,0,0,0,2005
Michael Parkhurst,ATL,2,32,32,0,0,0,0,0,2005
Jared Montz,CHI,2,1,0,1,0,1,0,6.92,2006
Marc Burch,CLB,2,10,5,1,0,0,1,0.18,2006
Ryan Raybould,KC,3,8,6,1,0,0,1,0.15,2006
Kevin Goldthwaite,HOU,2,20,8,1,0,1,0,0.11,2006
Steve Jolley,NY,2,16,10,1,0,0,1,0.11,2006
Tony Sanneh,CHI,2,19,15,1,0,1,0,0.07,2006
Alex Zotinca,KC,2,24,15,1,0,1,0,0.07,2006
Chris Leitch,CLB,2,24,18,1,1,1,0,0.05,2006
Gonzalo Segares,CHI,2,25,22,1,0,0,1,0.05,2006
Shavar Thomas,KC,2,26,24,1,0,1,0,0.04,2006
Bryan Namoff,DC,2,26,25,1,0,1,0,0.04,2006
Drew Moor,TOR,2,27,26,1,0,1,0,0.04,2006
Craig Waibel,HOU,2,28,28,1,0,0,1,0.04,2006
Bobby Boswell,DC,2,30,30,1,0,1,0,0.03,2006
Carlos Mendes,NY,2,31,31,1,0,1,0,0.03,2006
Jed Zayner,CLB,2,0,0,0,0,0,0,0,2006
Mike Chabala,HOU,2,0,0,0,0,0,0,0,2006
Michael Dello-Russo,DAL,3,0,0,0,0,0,0,0,2006
Blake Wagner,DAL,3,0,0,0,0,0,0,0,2006
Marcos Charras,DAL,2,0,0,0,0,0,0,0,2006
Chris Aloisi,HOU,2,0,0,0,0,0,0,0,2006
Jordan Russolillo,CHI,2,0,0,0,0,0,0,0,2006
Jeff Curtin,CHI,2,0,0,0,0,0,0,0,2006
Stephen Shirley,KC,3,0,0,0,0,0,0,0,2006
Idris Ughiovhe,CHI,2,0,0,0,0,0,0,0,2006
Pat Haggerty,NE,2,0,0,0,0,0,0,0,2006
Patrick Ianni,HOU,3,2,0,0,0,0,0,0,2006
Brian Roberts,KC,2,1,0,0,0,0,0,0,2006
Joel Kitamirike,CLB,2,1,0,0,0,0,0,0,2006
David Stokes,DC,2,3,1,0,0,0,0,0,2006
Danny Wynn,NE,3,2,0,0,0,0,0,0,2006
Aaron Pitchkolan,DAL,2,10,0,0,0,0,0,0,2006
Jeff Carroll,DC,3,2,1,0,0,0,0,0,2006
Markus Schopp,NY,3,5,1,0,0,0,0,0,2006
Stephen deRoux,DC,3,4,2,0,0,0,0,0,2006
Devon McTavish,DC,2,5,3,0,0,0,0,0,2006
Leonard Griffin,CHI,2,6,4,0,0,0,0,0,2006
Frankie Hejduk,CLB,2,4,4,0,0,0,0,0,2006
John Wilson,DC,2,11,2,0,0,0,0,0,2006
Lance Watson,KC,2,11,4,0,0,0,0,0,2006
David Wagenfuhr,DAL,2,13,5,0,0,0,0,0,2006
Taylor Graham,NY,2,10,6,0,0,0,0,0,2006
Tim Ward,CLB,2,11,6,0,0,0,0,0,2006
Tyson Wahl,KC,2,10,6,0,0,0,0,0,2006
Jim Curtin,CHI,2,11,7,0,0,0,0,0,2006
Alex Yi,DAL,2,11,6,0,0,0,0,0,2006
Brandon Prideaux,DC,2,9,9,0,0,0,0,0,2006
Clarence Goodson,DAL,2,13,9,0,0,0,0,0,2006
Kelly Gray,HOU,3,18,8,0,0,0,0,0,2006
Avery John,NE,2,10,10,0,0,0,0,0,2006
Jack Stewart,CHI,2,17,13,0,0,0,0,0,2006
Jimmy Conrad,KC,2,15,14,0,0,0,0,0,2006
Adrian Serioux,HOU,2,20,15,0,0,0,0,0,2006
